word,rebec,strgth,close,betw,eigen,degree,freq
ball,1,43.85262116039121,1973.3336484943277,8484.0,0.939081509824225,1146,10
dog,2,38.35900024366856,1493.0356864644302,2261.0,0.8229240444660617,875,66
spoon,3,39.536453708386944,1833.7675541490773,10775.0,0.8527792207154109,895,7
foot,4,41.647456631530076,1138.18454155312,31.0,0.8926748491953955,950,29
duck,5,39.45353761331353,1456.3853958149502,122.0,0.847389233609101,876,17
shoe,7,43.34773893652891,1524.9214134686706,1656.0,0.9277180338826768,1144,10
cup,8,38.43677139014471,1573.2203296209418,1178.0,0.8245843542494639,877,18
eat,9,42.516463647865294,2001.1239079712475,16473.0,0.9116813871541813,989,135
bus,10,43.563664445318864,1468.0781451855125,1497.0,0.9340877685170691,1126,43
flower,11,39.8137335861029,1484.0866913841692,1072.0,0.8588825895278048,872,27
mouth,12,40.00894026603419,1568.9601558129577,894.0,0.8611949346704408,908,13
cookie,14,43.453614786880735,1494.7885911703297,1416.0,0.9309080650853847,1121,8
red,17,38.50422471597267,1636.2905096376878,855.0,0.8295300104756508,890,48
jump,18,38.753634095246525,1989.9553978588422,6549.0,0.8329024408993778,889,33
carrot,19,39.737775544701435,1527.017416349772,2095.0,0.8589529717999725,889,7
read,20,38.7402999476094,2025.2854023436787,13506.0,0.8321714536930892,892,28
toe,21,39.88604901431245,1310.986820061045,6.0,0.8581871427107758,889,6
fly,23,40.01792789390129,1833.8440719602513,6132.0,0.8616778930078313,900,81
paint,24,38.00698455388101,2031.31959722116,6251.0,0.817869893212435,857,7
dance,25,38.75322918511392,1956.1941875486905,6330.0,0.8328354329267318,908,19
square,29,38.55204097011301,1666.1292879623581,689.0,0.8291751010213491,866,8
fence,30,40.68994132877742,1869.9889630035882,9593.0,0.876077053101998,928,15
empty,31,39.3706654097914,1119.5982344109304,4.0,0.8483653596055397,892,12
happy,32,36.89722171559697,942.1232738560424,0.0,0.794904793966335,863,27
fire,33,40.49444569434854,1740.207786130771,448.0,0.8717530946474785,895,12
castle,34,43.468341444393445,1821.7940936958732,7860.0,0.931363488074251,1094,6
throw,36,38.345665351924254,1330.201119571041,10.0,0.8258485949155367,874,11
farm,37,38.21797519426764,1838.7352881968388,3518.0,0.8216031136518799,872,8
gift,39,38.42683882752681,1616.442841482956,2543.0,0.826435982678117,892,9
dress,47,37.4107921708528,1541.7208150643137,1703.0,0.8037313934793346,876,14
peek,49,36.81484077778441,1474.851467098582,512.0,0.7913116880918504,857,5
branch,52,38.452253435566945,1720.8744530614374,3917.0,0.826605663477607,881,14
pick,61,39.27137827149272,1552.4533691848926,778.0,0.8452623795664604,881,50
sort,82,39.48253855141229,1435.7583255626876,37.0,0.8504406765210293,887,9
river,87,39.75398759363452,1313.1455477848535,60.0,0.8562199060215158,904,6
catch,89,38.877336852339795,1473.1911001214603,456.0,0.8381798773507455,854,29
trunk,90,39.31520845358318,1580.9291451754834,13.0,0.8473333918654266,877,11
safe,103,38.2129944646731,1606.4755445329472,1324.0,0.819823951415204,883,11
valley,119,38.396313213750545,1492.503774549375,63.0,0.829298544831605,854,5
